590	0
853	0
2014	0
590	0
853	0
2014	0
3	3
1815	6
1815	6
1300	38
1308	38
1300	38
1437	38
1151	39
177	50
1692	50
52	52
306	52
482	52
520	52
1629	52
384	60
188	61
473	61
598	61
938	61
1334	61
1518	61
1963	63
698	65
1077	70
1963	74
95	95
101	101
211	101
2050	110
19	19
1669	19
759	145
2028	145
972	157
158	158
1963	158
160	160
626	160
454	162
454	162
454	162
94	163
166	166
104	168
1810	168
663	179
1754	180
187	187
451	203
436	204
101	211
211	211
451	221
663	222
1147	245
1421	245
177	248
220	248
248	248
600	248
830	248
1033	248
188	256
473	256
598	256
938	256
1334	256
1518	256
1676	263
188	273
473	273
598	273
938	273
1334	273
1518	273
292	292
104	298
1810	298
1300	305
1308	305
1300	305
1437	305
52	306
306	306
482	306
520	306
1629	306
52	306
306	306
482	306
520	306
1629	306
52	306
306	306
482	306
520	306
1629	306
104	312
1810	312
330	317
502	317
978	317
279	325
1393	325
327	327
177	328
1692	328
436	335
505	342
1042	342
1339	342
1774	342
349	349
305	305
505	305
1042	305
1339	305
1774	305
436	380
436	380
104	312
1810	312
467	401
590	403
853	403
2014	403
1825	389
397	417
1149	417
850	440
30	30
451	30
1213	447
279	450
1393	450
279	453
1393	453
639	455
456	456
1123	456
1300	461
1308	461
1300	461
1437	461
1300	461
1308	461
1300	461
1437	461
52	482
306	482
482	482
520	482
1629	482
52	482
306	482
482	482
520	482
1629	482
52	482
306	482
482	482
520	482
1629	482
188	483
473	483
598	483
938	483
1334	483
1518	483
790	496
1309	506
1309	506
512	512
52	520
306	520
482	520
520	520
1629	520
30	524
590	526
853	526
2014	526
104	564
1810	564
1371	573
1371	573
1919	573
577	577
663	585
279	592
1393	592
1371	592
1371	592
1919	592
593	593
166	599
292	615
279	624
1393	624
188	625
473	625
598	625
938	625
1334	625
1518	625
160	626
626	626
663	629
291	640
37	640
839	640
291	30
37	30
839	30
104	648
1810	648
1151	652
1151	652
291	653
37	653
839	653
291	662
37	662
839	662
1825	663
505	675
1042	675
1339	675
1774	675
1603	679
1093	680
19	680
663	683
689	689
698	698
577	705
188	719
473	719
598	719
938	719
1334	719
1518	719
956	723
1300	735
1308	735
1300	735
1437	735
1105	741
188	750
473	750
598	750
938	750
1334	750
1518	750
505	753
1042	753
1339	753
1774	753
346	754
1213	754
1754	755
2051	771
2051	771
279	782
1393	782
1371	790
1371	790
1919	790
104	564
1810	564
1209	801
188	820
473	820
598	820
938	820
1334	820
1518	820
188	820
473	820
598	820
938	820
1334	820
1518	820
505	821
1042	821
1339	821
1774	821
940	823
1107	823
1977	823
686	827
177	830
220	830
248	830
600	830
830	830
1033	830
831	831
166	843
384	850
639	850
850	850
279	869
1393	869
279	869
1393	869
1371	904
1371	904
1919	904
1693	930
188	941
473	941
598	941
938	941
1334	941
1518	941
436	955
956	956
956	956
104	970
1810	970
1151	985
104	312
1810	312
36	992
992	992
397	992
505	1006
1042	1006
1339	1006
1774	1006
94	163
1023	1023
397	1034
1149	1034
505	1035
1042	1035
1339	1035
1774	1035
642	1042
1464	1042
505	554
1042	554
1339	554
1774	554
291	640
37	640
839	640
104	564
1810	564
663	1066
188	1068
473	1068
598	1068
938	1068
1334	1068
1518	1068
940	1092
1107	1092
1977	1092
1094	1094
940	1107
1107	1107
1977	1107
104	1108
1810	1108
505	1114
1042	1114
1339	1114
1774	1114
397	1143
1149	1143
397	1149
